Issue ID,Business Requirement,Description,Expected Results,Expected Results,URL(s) Validated,Date/Time,Browser,Actual Results,_dl,Notes,,
13,Schedule an Eye Exam Funnel - Step 2- Schedule,patient finds a data and time and provides personal information on this page,"_dl = { ""site_events"" : { ""exam_scheduler_schedule"": true }, ""zip_code"": ""<user provided zip code>"", ""stores"": [{stores object}] //Additional global variables });",Fail ,,"6/9/2015, 2:00 PM",Chrome,,,"Second step is viewed on a different domain - https://v7stage.examappt.com/webapp/wcs/stores/servlet/EyeExamFlow?storeNumber=1415&clearExams=1&iFrameType=&catalogId=16951&storeId=12653&langId=.             The testing was done by capturing the URL from the i-frame .                                                          Results :  Authentication status, favorite_products are not getting tracked. zipcode value is getting tracked twice, once with the right value and a null value, address, miles_from_customer, result position are not getting populated.",,
14,Schedule and Eye Exam Funnel - Step 3 - Review ,visitor lands on the review page for eye exam,"_dl = { ""site_events"" : { ""exam_scheduler_review"": true }, ""exams"": [{exams object}] //Additional global variables });",Fail ,,"6/9/2015, 2:00 PM",Chrome,,,"authentication_status, favorite_product is not getting tracked,  Store object present in the Exam object is missing the address value. Also additional varibales are getting tracked when compared to the store object structure in the exam object.",,
15,Schedule and Eye Exam Funnel - Step 4 - Confirmation,last ste of the process which is the confirmation page,"_dl = { ""site_events"" : { ""exam_scheduler_complete"": true }, ""customer_lead_type"" : ""exam scheduler"", ""customer_lead_level"" : ""fully qualified"", ""customer_lead_id"" : ""<unique ID identifying submission>"", ""exams"": [{exams object}] //Additional global variables });",TBD,,"6/9/2015, 2:00 PM",Chrome,,,"Cannot reach to the final confirmation page for this section, site issues.",,
16,Banner Impressions,Banner presented to the user on the site,"_dl = { ""site_events"" : { ""banner_impression"" : true }, ""banner_impressions"" : [{banners object}] //Additional variables per requirement }",Fail ,,"6/9/2015, 2:00 PM",Chrome,,,"Site_events,banner impressions, authentication_status, favorite_products object are not getting tracked, ",,
17,Banner Click-thru,when any banner is clicked upon,"_dl = { ""site_events"" : { ""banner_click"":true }, ""banner_clicked"" : {banners object} //Additional variables per requirement }",Fail ,,"6/9/2015, 2:00 PM",Chrome,,,"Site_events, banner_clicked object , page_name, favorite_prudcts object are not getting tracked.",,
18,Product list Pages - Filters,when any filters are applied to product list pages,"_trackAnalytics({ ""site_events"": { ""modify_filter"": true }, ""products"": [{products object}], ""filters"": { ""gender"": [""men""], ""face_shape"": [""square""], ""color"": [""brown""] “fit”: [“narrow”], “materials”: [“metal”], “special_offers”: [“on sale”], } //Additional global variables per requirement });",Fail ,,"6/9/2015, 2:00 PM",Chrome,,,Cannot see any tracking fired,,
19,Product List Pages - Select Product,when any product is selected and clicked,"_trackAnalytics({ ""site_events"": { ""select_product"": true }, ""products"": [{products object}], ""filters"": { ""gender"" : [""men""], ""face_shape"" : [""square""], ""color"" : [""brown""] ""fit"" : [""narrow""], ""materials"" : [""metal""], ""special_offers"" : [""on sale""], } //Additional global variables per requirement });",Fail ,,"6/9/2015, 2:00 PM",Chrome,,,Cannot see any tracking fired,,
20,Favorites- Iniate add to favorites,When add to favorite process is initated,"_trackAnalytics({ ""site_events"": { ""initiate_favorites"": true }, ""products"": [{products object}] //Additional global variables per requirement });",Fail ,,"6/9/2015, 2:00 PM",Chrome,,,"site events is gettting tracked with the wrong value, style variable in product array object is null, no additional global varibales are getting tracked.",,
20,Favorites- add to favorites,when any product is added to the favorite cart,"_trackAnalytics({ ""site_events"": { ""add_to_favorites"": true }, ""products"": [{products object}] //Additional global variables per requirement });",Fail ,,"6/9/2015, 2:00 PM",Chrome,,,"site events is gettting tracked with the wrong value, style variable in product array object is null, no additional global varibales are getting tracked.",,
21,Remove from Favorites,when product is removed from the favorite section,"_trackAnalytics({ ""site_events"": { ""remove_from_favorites"": true }, ""products"": [{products object}] //Additional global variables per requirement });",Fail ,,"6/9/2015, 2:00 PM",Chrome,,,"products array object is not populated, no additional global varibales are getting tracked.",,
22,Compare Products- Add to Compare,when the compare icon is clicked to add aproduct,"_trackAnalytics({ ""site_events"": { ""add_to_compare"": true }, ""products"": [{products object}] //Additional global variables per requirement });",Fail ,,"6/9/2015, 2:00 PM",Chrome,,,"site events is getting tracked with the wrong value, style variable in product array object is null, no additional global variables are getting tracked.",,
